Title,Description
Gambro Agrees to Sell US Dialysis Unit to DaVita (Correct),"Gambro AB, the world #39;s No. 2 operator of dialysis centers, agreed to sell its US clinics to DaVita Inc., for \$3.1 billion in cash."
Update 1: Virgin in Talks With Chinese Telecom Firm,British conglomerate Virgin Group Ltd. announced Tuesday that it is in talks with a mainland Chinese telecommunications company to set up a joint venture to provide mobile services in China.
Hollinger Chronicles: tale of corporate plunder,A new expression has entered the Scandal lexicon in the last week. The hard-hitting internal report from Hollinger International referring to the way that Conrad Black allegedly ran the company described it as being a corporate kleptocracy.
"After the lurid stories, Black still faces judgment day","The story could hardly be more dramatic. Over 513 pages, former Securities and Exchange Commission chairman Richard Breeden accuses former Telegraph owner Lord Black and his fellow executives of systematically "
UPDATE 1-Insurers bracing for severe Frances losses - S amp;P,"Hurricane Frances threatens to deliver a powerful blow to private insurers and reinsurers and could cause severe challenges for some companies, Standard  amp; Poor #39;s said on Friday."
Report: Citigroup to Bid for Cazenove (Reuters),"Reuters - U.S. investment bank Citigroup is set to\bid for UK stockbroker Cazenove , challenging rivals JP\Morgan  and Lehman Brothers  for the City's most\venerable institution, the Observer reported."
Jury finds Sept. 11 attacks are separate acts,A jury #39;s finding yesterday that the Sept. 11 attack by two hijacked planes on the World Trade Center was two occurrences for insurance purposes provides an 
Stocks fall as brokers downgrade blue chips,"Oil supply concerns and broker downgrades of blue-chip companies left stocks mixed yesterday, raising doubts Wall Street #39;s year- end rally would continue."
Interest rates on short-term T-bills mixed,"Interest rates on short-term Treasury securities were mixed in yesterday's auction. The Treasury Department sold \$19 billion in three-month bills at a discount rate of 2.210 percent, up from 2.195 percent last week. An additional \$17 billion was sold in six-month bills at a rate of 2.380 percent, down from 2.395 percent."
Jury finds Sept. 11 attacks are separate acts,"A jury's finding yesterday that the Sept. 11 attack by two hijacked planes on the World Trade Center was two occurrences for insurance purposes provides an extra \$1.1 billion, ensuring  quot;a timely and complete rebuild quot; of the destroyed complex, its leaseholder says."
Sony In Talks To Sell Products At Wal-Mart,Sony Corp. is talking with Wal-Mart and Costco in an effort to boost sales by shipping to US discount chains with which it previously did little business.
Schlepping to Moguldom,"Haim Saban, one of the nation's richest and most improbable media magnates, may be one of the most politically connected moguls in Hollywood, trying to influence all things Israeli."
Does RAND Walk the Talk on Labor Policy?,RAND is not unique among government contractors in continuing to do business with the government after being found in violation of labor law.
"Good Deals for Banks, Both Coming and Going","With so few mergers and acquisitions these days and with fees for them shrinking, bankers have found a new way to milk more cash out of deals: working with both buyer and seller."
"To Get Out of a Stall, Apply Lift. An Election May Work.","While the stock market close to stumbling through its fifth-longest stall since 1983, there could be a little election-year boost for equities."
Microsoft Steps Into the Ring," quot;Compared to iTunes, Microsoft #39;s music store currently offers only half the songs and is missing many features, but its biggest problem may be that its downloaded songs do not play on iPod, iPod "
Microsoft Steps Into the Ring,"For subscription services such as Napster and RealRhapsody, the entrance of Microsoft into its business space might have the same  quot;Oh no!"
Utility discounts planned for poor,"As many as 225,000 low-income Massachusetts families may become automatically eligible for discounts of 20 percent and more on gas and electric service next month under a new policy adopted yesterday by state regulators."
Drug-ordering systems get a boost,"Nearly 70 percent of Massachusetts hospitals have failed to install special computer systems for ordering drugs for patients, mostly because they carry big price tags. But a new report from the Massachusetts Technology Collaborative says the state's hospitals would end up saving money if they install these sophisticated systems to reduce medical errors."
It Takes Time to Judge the True Impact of New Technology,"About this time last year, I wrote a column following up on some pieces I #39;d written earlier to see what if anything new had happened to those topics."
The Week Ahead,Commerce Undersecretary Grant D. Aldonas arrives in Beijing for talks on textiles and other trade issues. US Chamber of Commerce opens small-business summit.
Markets Quiet With GOP in New York,"The GOP convention came to New York last week and Wall Street did . . . well, not much. Many traders and money managers fled the city to avoid convention-related headaches."
Mobile Mappers Stop Short of Ideal,"Thanks to such free mapping sites as MapQuest and Yahoo Maps, it #39;s been a while since road warriors have had to sketch out a route with a yellow highlighter, guessing which shortcuts to take or avoid."
"With Charley on Their Minds, Floridians Brace for Round 2","Al Cialella is from Philadelphia, where he always thought of  quot;sturdy quot; oak trees as symbols of strength. He never knew that in central Florida, the water table "
Jobs Data Hold Promise of Stronger Growth (AP),"AP - Employers stepped up hiring in August, expanding payrolls by 144,000 and lowering the unemployment rate marginally to 5.4 percent. While the figures didn't amount to a national job fair, analysts said, they did hold out the promise of stronger growth following the summer lull."
"Global Crossing founder, others likely to be fined under SEC pact","Global Crossing Ltd. founder Gary Winnick and at least two other executives are likely to be fined under an agreement that will end a Securities and Exchange Commission probe into the company's accounting, people familiar with the matter said."
Markets brace for fresh hurricane,Hurricane Frances is pushing up commodity prices and weighing on insurance company stocks as it heads for the Florida coast. Orange juice prices hit nine-month highs on the New York Board of Trade on Thursday 
Enron CEO #39;s Firm Seeks  #39;Success Fee #39;,"The firm led by Enron Corp. #39;s (ENRNQ.PK: Quote, Profile, Research) acting chief executive asked a bankruptcy judge for a \$25 million  quot;success fee quot; for its efforts in "
Nasdaq chipped by Intel,"NEW YORK (CNN/Money) - Technology stocks sank Friday after Intel Corp., the world #39;s largest chipmaker, disappointed investors by slashing its revenue forecast."
Slowing Housing Market May Stir Inflation," NEW YORK (Reuters) - As U.S. home purchases slow, an  expected rise in demand for rentals will result in a spike in  inflation, analysts say, citing studies showing housing costs  have been under-reported by the government."
European stability pact watered down,"Bowing to the inevitable -- following persistent breaches of the rules by the eurozone #39;s two most powerful members, Germany and France -- Brussels announced plans that would make the pact less rigid."
"APEC forum of finance chiefs stresses role of gov #39;t,institutions","The 11th meeting of finance ministers of the Asia-Pacific Economic Cooperation forum (APEC) concluded on Friday, highlighting the role of governments and financial institutions "
Aide: Kerry Would Shift Trade Focus Toward WTO,"Democrat John Kerry probably would put more time and energy into world trade talks and enforcing existing agreements than pursuing bilateral deals like the Bush administration has, a campaign adviser said."
Mutual fund votes show limits to change,"When corporate America came looking for raises last year, Boston #39;s largest mutual funds routinely turned them down, voting in hundreds of cases against lucrative "
Slowing Housing Market May Stir Inflation (Reuters),"Reuters - As U.S. home purchases slow, an\expected rise in demand for rentals will result in a spike in\inflation, analysts say, citing studies showing housing costs\have been under-reported by the government."
US economic outlook depends on where you stand (AFP),"AFP - The best of times, or the worst of times. The US economy is the strongest in years, or is mired in the deepest employment crisis in decades."
World Needs More Oil Capacity -Watchdog," SYDNEY (Reuters) - An extra 3 million barrels per day (bpd)  of production capacity worldwide is needed to avoid another  year of blistering oil prices, International Energy Agency  (IEA) executive director Claude Mandil warned on Sunday."
Nonunion firms hit ironworkers with suit,"Six New England steel-working firms have filed an antitrust lawsuit against one of Boston's most powerful and politically connected unions, alleging that the labor group has conspired to shut out nonunion companies from major construction projects in the region."
Dollar daze,"The dollar is falling, so the smart money is moving into international stocks and mutual funds, right?"
"TiVo, Cable or Satellite? Choose That Smart TV Wisely","Though technophiles are the ones who usually like to brag about their electronic toys, recently, even tech novices have started crowing about their digital video recorders."
Law firm told to pay \$7.2m for negligence,"A state judge has ordered the Boston law firm of Rubin and Rudman to pay \$7.2 million plus as much as \$2.1 million more in attorneys fees to settle charges that it negligently misrepresented the status of legal proceedings against its client, West Lynn Creamery, during negotiations to sell the dairy in 1998."
Fed having a change of space,"Apparently the mammoth Federal Reserve building going up at 1801 Allen Parkway didn #39;t need to be quite so big after all. It turns out that a portion of the 300,000-square-foot property originally "
Kmart to sell 45 stores to Sears for \$524 million,"Kmart Holding Corp. (KMRT.O: Quote, Profile, Research) said on Thursday it would sell 45 stores for \$524 million to Sears, Roebuck and Co."
Continental isn #39;t funding its pension plan this year,"Continental Airlines, the fifth-largest US carrier, yesterday said it will skip contributions to employee pension plans this year, taking advantage of a law enacted in April to conserve cash."
"1,600 Ford workers to be furloughed","The 1,600 workers at a Ford Motor Co. plant in Minnesota will be furloughed for three weeks as Ford cuts production of the Ranger pickup truck."
State seen missing out on tourism opportunity,"Europeans are flocking to the United States to shop, drawn by a weak dollar that promises cheap holiday shopping excursions. But some say Massachusetts businesses are missing out because \$2 million earmarked for international tourism marketing is sitting untouched."
"Bush, Kerry battle over jobs report","President Bush and Democratic challenger John Kerry on Friday seized on a Labor Department report showing the US expanded payrolls by 144,000 and lowered the unemployment level to 5.4 percent "
Hollinger Money Funded Lavish Lifestyle,"Between 1997 and 2003, Conrad Black and his associates personally received in cash up to 92.5 percent of Hollinger #39;s entire adjusted net income -- much of it to keep the various Black households "
Probe of gifts said to focus on Fidelity,"Federal regulators have subpoenaed Fidelity Investments and several brokerage firms that handle the stock-trading business for the mutual fund giant, seeking information about gifts and expensive perks Fidelity traders may have accepted from the brokerage firms, according to attorneys involved in the case."
Ways to cope with emergencies," quot;No one around here cares about the customers, quot; the Northwest Airlines agent ruefully told me on the phone. My father-in-law had just died, and I was frantically trying to get two of our kids "
Changes in check-processing lie ahead,Consumers may notice their monthly bank statements are considerably lighter now that banks no longer have to return paper checks but instead can return digital images or substitute versions of the checks.
Fund finds turnaround opportunities,"John Keeley, manager of the \$155 million Keeley Small Cap Value Fund, is generating above-average returns by buying shares of US companies that are emerging from bankruptcy or being restructured."
Timing Is Everything,  Here's just what you need: another complication involving individual retirement accounts.
Hidden fees,"From bank accounts and mortgages to credit cards and car loans, let the buyer beware: Financial fees are on the rise. And many are just waiting to blindside you."
Filene's Basement markdown policy gets a makeover after 96 years,"The downtown Boston Filene's Basement store has quietly altered its 96-year-old ''world famous quot; automatic markdown policy, making consumers wait longer to snare the steepest discounts."
"Once highflying, unions hit turbulence","Has anyone in the labor movement lost more altitude than the unionized pilots at the nation's biggest airlines? Until recently, they had it all: great pay, great benefits, and a great lifestyle, thanks to work rules that required senior pilots to fly only about 40 hours per month. But like the heroes in a Greek tragedy, the pilots have tumbled ..."
Mutual fund votes show limits to change,"When corporate America came looking for raises last year, Boston's largest mutual funds routinely turned them down, voting in hundreds of cases against lucrative stock and options packages for senior executives, according to proxy-vote data released last week for the first time."
Bank on it: Tour will return,NORTON -- Several players said yesterday they were thrilled to hear that the Deutsche Bank Championship has committed for two more years at TPC Boston.
Everyone benefits from accountability,"It's a benefit to the investors (and, by the way, to the companies seeking venture capital) to have VC Fund performance out in the open (''State discloses venture results, quot; Aug. 25)."
"In wake of scandals, here's what's ahead",It's been a year since New York Attorney General Eliot Spitzer fired the shot heard 'round the mutual fund world.
Chasing the  #145;unbanked #146;,Hip-hop mogul Russell Simmons rolled into town this summer with a mission: Get people to the voting booths and banking to the people.
It #146;s so not hip to be Union Square ,"Its oval promotional stickers, colorless and lowercase, are still everywhere, on parking meters, street signs, and lampposts."
Growth is prime on agenda for Ipswich bank,"With \$3.9 million in new capital, First National Bank of Ipswich is pushing farther into New Hampshire and may add an investment arm to the \$330 million-asset community bank. And with a new ticker symbol of FIWC, First National is now publicly traded on the Over the Counter Bulletin Board."
Week in review,DETROIT - The chairman of the world #39;s largest automaker says whoever wins the US presidential race must work across party lines to solve the nation #39;s health care crisis.
"ASEAN, Australia, N.Zealand See 2007 Pact"," JAKARTA (Reuters) - Southeast Asian nations, Australia and  New Zealand hope to conclude a free trade agreement (FTA) by  2007 after beginning formal negotiations next year, Australian  Trade Minister Mark Vaile said on Sunday."
Nikkei Ends Down for 2nd Day," TOKYO (Reuters) - Japan's Nikkei share average fell for a  second straight session on Tuesday, closing 0.99 percent lower  after the dollar's retreat below 103 yen put pressure on  exporters such as Sony Corp."
US employment glass is either half-empty or half-full,"One, an 80-page tract from the conservative Employment Policy Foundation, paints a Horatio Alger portrait of a nation becoming more competitive globally, thanks in part to small-business growth and a surge in self-employment."
Mid-cap may not be only choice,"Most experts expect mid-cap #39; #39; stocks, or stocks issued by medium-size companies, to perform well as our economy expands."
"Coffee, Tea or Job? For Airline Workers, an Uncertain Future","or decades, an airline job was a coveted plum. Good pay, generous benefits, strong unions and the glamour of air travel made pilots, flight attendants, mechanics and even baggage handlers the envy of their neighbors."
World Needs More Oil Capacity -Watchdog (Reuters),"Reuters - An extra 3 million barrels per day (bpd)\of production capacity worldwide is needed to avoid another\year of blistering oil prices, International Energy Agency\(IEA) executive director Claude Mandil warned on Sunday."
"ASEAN, Australia, N.Zealand See 2007 Pact (Reuters)","Reuters - Southeast Asian nations, Australia and"
"Eurozone data to show growth based on exports, consumption weak (AFP)","AFP - Data to be released this week are expected to confirm that the eurozone's economic recovery is fueled by strong export demand, not consumption or investment, and that Britain's industrial sector is gaining steam, analysts said."
Business Sentiment Improves for First Time in Four Months,"The business sentiment index in the domestic economy has finally showed a mild upturn in the last four months. The Federation of Korean Industries (FKI) reported Sunday that,  quot;According to a survey conducted "
"For airline employees, it #39;s the end of a golden age","For decades, an airline job was a coveted plum. Good pay, generous benefits, strong unions and the glamor of air travel made pilots, flight attendants, mechanics and even baggage handlers the envy of their neighbors."
INTERVIEW: IEA Head Renews Call For OPEC Capacity Boost,"SYDNEY (Dow Jones)--OPEC should reaffirm its willingness to increase oil production when it meets next month and give a clear commitment to boosting production capacity, the head of the International "
Hurricane losses may reach \$10bn,"Hurricane Frances could cause between \$2bn and \$10bn in insured losses in the US, experts predict as the storm pummels Florida."
Cazenove Shareholders to Meet as Company Weighs Possible Offers,"Cazenove Group Plc, Britain #39;s oldest independent stockbroker, will hold its annual shareholder meeting Tuesday after the Financial Times reported it #39;s weighing offers from two US banks."
Falling Dow hits markets,"SHARES are set for a bumpy ride after Wall Street lost ground on the weekend, derailed by weak US jobs data and a poor prognosis from Intel which sparked worries for the health of the tech sector."
HBOS to decide this week on Abbey,"The board of HBOS is due to decide this week whether to bid against Spanish bank Santander for local rival Abbey National, newspapers say, but HBOS declined to comment."
Calpine betting state needs juice,"Tucked against a dry San Jose hillside, Calpine Corp. #39;s next power plant is a \$500 million leap of faith. Workers swarm through the plant #39;s five-story metal skeleton, the shriek of power tools piercing the air, as they work for completion next spring."
Checking out,"or whatever amount for which it is written. Under the Check Clearing for the 21st Century Act, commonly known "
Funds: Fund Mergers Can Hurt Investors (Reuters),"Reuters - Mergers and acquisitions have\played an enormous role in the U.S. economy during the past\several decades, but sometimes the results have been bad for\consumers.  Similarly, consolidation in the mutual fund\business has sometimes hurt fund investors."
Newbiz: an Unconventional Asset-The Past (Reuters),"Reuters - When businesses consider their\assets, they may look at obvious things like products,\buildings, equipment, patents, even valued employees. But the\company's history?"
Greenspan Takes Center Stage This Week," LONDON (Reuters) - Federal Reserve Chairman Alan  Greenspan's testimony on Capitol Hill midweek will be the main  draw for global financial markets this week in the absence of  significant data either side of the Atlantic, analysts said."
Funds: Fund Mergers Can Hurt Investors," PORTLAND, Maine (Reuters) - Mergers and acquisitions have  played an enormous role in the U.S. economy during the past  several decades, but sometimes the results have been bad for  consumers.  Similarly, consolidation in the mutual fund  business has sometimes hurt fund investors."
Newbiz: an Unconventional Asset-The Past," WASHINGTON (Reuters) - When businesses consider their  assets, they may look at obvious things like products,  buildings, equipment, patents, even valued employees. But the  company's history?"
"ASEAN, Australia, N.Zealand See 2007 Deal"," JAKARTA (Reuters) - Southeast Asian nations, Australia and  New Zealand hope to conclude a free trade agreement (FTA) by  2007 after beginning formal negotiations next year, government  ministers said on Sunday."
EU warns Italy on Alitalia stake,"The Italian state must give up its majority stake in troubled Alitalia when the airline sells new shares, the EU warns."
Jobs Data Give Fed Green Light for Sept Rate Hike,A moderate rise in August payrolls sealed expectations on Friday that the Federal Reserve will continue its rate-hike campaign in September without a pause.
IT Stocks to Influence KOSPI,"The information technology (IT) sector is expected to set the tone of the Korean stock market in the near term after Intel, the worlds largest semiconductor maker, slashed its third-quarter sales forecast last Thursday."
Branson earmarks \$300m for mobile JV in China,"Virgin Group chief Richard Branson said on Tuesday he has earmarked \$300 million for a cellular phone joint venture in China, the worlds largest mobile market by users."
Dollar slide has only a muted short-term impact on EADS: CEO,"BEIJING : The dramatic fall of the dollar against the euro will would have only a muted short-term impact on Europe #39;s largest defense company but if sustained, it would affect future profitability, the head of EADS said."
Disney's Eisner Sees Iger as Successor," LOS ANGELES (Reuters) - Walt Disney Co. Chief Executive  Michael Eisner said company President Robert Iger is his  ""preferred choice"" to succeed him in running the entertainment  conglomerate, according to an interview in Sunday's Los Angeles  Times."
Slow Job Market Greets Workers Labor Day,"WASHINGTON Sept. 5, 2004 - A spotty job market and stagnant paychecks cloud this Labor Day holiday for many workers, highlighting the importance of pocketbook issues in the presidential election."
"Filmmaker Examines Jobs Lost to Outsourcing, Offshore Production","US industry is increasingly turning to countries like Mexico and China for its manufacturing, and to India for high-end services like computer programming."
World Needs More Oil Capacity -Watchdog,"An extra 3 million barrels per day (bpd) of production capacity worldwide is needed to avoid another year of blistering oil prices, International Energy Agency (IEA) executive director Claude Mandil warned on Sunday."
Update 1: Sources: EU Closer to Coke Settlement,"The European Union is moving closer to settling its long-running antitrust case against The Coca-Cola Co., having judged the beverage giant #39;s offer to modify distribution deals in Europe good enough to begin gauging the industry #39;s reaction, sources close "
Prodi unveils plan to ease deficit rules,"European Commission president Romano Prodi has unveiled proposals to loosen the deficit rules under the EU Stability Pact. The loosening was drafted by monetary affairs commissioner Joaquin Almunia, who stood beside the president at the announcement."
PRIEST-DIRECTOR SAW  #39;PROPER #39; OVITZ FIRING,"Father Leo O #39;Donovan, a Walt Disney Co. director and Jesuit priest, testified that he believed CEO Michael Eisner had the  quot;proper authority quot; to boot Michael Ovitz from the company."
Coke to alter sales practices,"Coca-Cola on Friday agreed to alter its sales practices in some European markets, an offer likely to bring to an end a five-year investigation by the European Commission into whether the soft drinks giant was stifling retail competition."
Shoppers: Moneyed vs. Worried,Retail sales were generally lackluster in August. Some outfits blamed Hurricane Charlie. Others pointed the finger at gas prices or the late start to the back-to-school shopping season.
Protesters seize oil platforms in Nigeria,"Protesters seized oil platforms run by Royal Dutch/Shell Group Cos. and ChevronTexaco Corp for a second day Monday, shutting down 90,000 barrels a day in oil production, company officials said."
"Tech, Oil and Frances to Rule Markets (Reuters)","Reuters - As if Intel's profit bomb didn't put\enough of a damper on the summer-ending long weekend, investors\returning this week after Labor Day will be wary of a market\offering as much pitfall as promise."
Official: Saudis OK with price band hike,"Saudi Arabia does not object to OPEC raising the current price band when oil-producing nations meet Sept. 15 and is negotiating the level with other oil-rich Gulf countries, a Saudi oil official said Sunday."
Tax Service Raises 2001 Yukos Bill to \$4.1Bln,"The Federal Tax Service slapped Yukos with a \$4.1 billion back-tax bill for 2001 on Friday, \$700 million more than its original claim, which was announced July 1. The amended bill, the "
Labor leaders seek to remedy shortcoming of locals,SAN FRANCISCO (CBS.MW) - Supermarket workers in northern California are preparing for a possible strike against Safeway - just as their sister union local in Los Angeles did for nearly five months ended in March.
Court seeks probe into Hollinger #39;s fin transactions,"VANCOUVER: An Ontario judge added another wrinkle to the controversy enveloping Hollinger and press baron Conrad Black, ordering a probe into the firms byzantine finances."
Intel Forecast Raises Concern Chip Demand Faltering (Update8),Intel Corp. #39;s forecast of faltering demand for electronics such as personal computers and mobile phones heightened concern that consumer spending is declining.
Unions seek reversal of Harris-era labour setbacks,"Ontario union boosters are calling for the Liberal government to reinstate labour laws struck down by the Harris government, and say things are so bad in the province that workers are scared of their bosses."
"Allstate, Other Insurers Face New Loss From Frances (Update1)","Allstate Corp., St. Paul Travelers Cos., Ace Ltd. and other insurers face as much as \$10 billion in losses as hurricane winds batter Florida for second time in three weeks."
UPDATE 4-Intel cuts revenue outlook; stock declines,"Intel Corp. (INTC.O: Quote, Profile, Research) on Thursday cut its third-quarter revenue and profit margin forecast after demand for both its computer microprocessors "
Disney #39;s Eisner Sees Iger as Successor,"Walt Disney Co. (DIS.N: Quote, Profile, Research) Chief Executive Michael Eisner said company President Robert Iger is his  quot;preferred choice quot; to succeed him in running the entertainment "
Jobs data sound perfect #39; to some,"CHICAGO (CBS.MW) - After July #39;s jobs report came up much weaker than expected, August #39;s figures probably calmed nerves at the White House and the Federal Reserve, both of which have been making the case that recent economic soft spots were only temporary."
"OPEC Oil Output Rose 1.2 in August, Survey Shows (Update1)","The Organization of Petroleum Exporting Countries boosted crude-oil production 1.2 percent in August, reaching a 25-year high for a second month in an attempt to pull prices back from records, a Bloomberg survey showed."
Opec mulls \$28-30 price band: Qatar,"KUWAIT CITY - Opec is considering raising its price band to between 28 and 30 dollars a barrel, Qatar #39;s Energy Minister said in comments published yesterday, ahead of a crucial meeting of the group."
Update 1: American to Charge for Certain Ticket Buys,"American Airlines says it will begin charging a service fee of \$5 or \$10 to buy a ticket over the phone or at an airport counter, copying a similar move by Northwest Airlines."
\$A sold off on US rally,THE Australian dollar opened half a US cent lower today weighed down by a broad US dollar rally on Friday night and a weaker gold price.
Rio Says It May Sell 51 Stake in Brazilian Gold Mine (Update1),"Rio Tinto Group, the world #39;s third- largest mining company, said it may sell its 51 percent stake in the Morro do Ouro gold mine in Brazil, which supplies about 8 percent of the South American nation #39;s gold."
Hutchison mobile IPO aims to raise 2 billion,"HONG KONG Hutchison Whampoa has filed with US regulators to raise as much as \$2 billion in an initial public offering of its phone business in Hong Kong, India and six other markets."
Taxing stock options globally,"PARIS Stock option accounting has become an international battleground, but those wars may be nearing an end as major industrial countries move toward rules that force companies to deduct the value of options from their earnings."
Monti Says Santander Abbey Bid Would Boost to Bank Integration,European Union Competition Commissioner Mario Monti said Santander Central Hispano SA #39;s bid for Abbey National Plc would boost the integration of the European banking market if it succeeds 
Dollar Near High Vs Yen on Jobs Data, TOKYO (Reuters) - The dollar rose near a  two-and-a-half-week high versus the yen on Monday after a jump  late last week following a U.S. employment report.
Report Suggests Employment Turnaround for Ohio,"After losing nearly 200,000 jobs since 2000, new economic report suggest that Ohio  #39;s manufacturing sector may be starting to stabilize."
EU #39;s Monti reveals support for Santander #39;s Abbey bid,"MARIO Monti has thrown his support behind Banco Santander Centrale Hispanos 8.75 billion bid for Abbey National, after he said that the offer contributes to European Union single market goals."
Fewer students pursue MBA,"A shrinking pool of young adults, a dearth of international students and a tight job market are reducing demand for traditional, two-year master #39;s of business administration programs across the country."
"Nikkei Opens Higher, Lifted by Survey", TOKYO (Reuters) - Tokyo's Nikkei average opened up 0.58  percent on Monday with buyers picking up a broad range of  stocks after key economic survey renewed hopes over Japan's  economic outlook.
Japanese Stocks May Rise on US Job Growth; Toyota May Advance,"Japanese stocks may rise after a US government report showed accelerating job growth, suggesting that the world #39;s largest economy is emerging from a midyear lull."
Brazilian singer mines musical heritage for stellar debut,"SAO PAULO, Brazil - Brazilian newcomer Maria Rita, one of the big winners at this year #39;s Latin Grammy show, treats her family #39;s rich musical legacy as a personal gold watch, a treasure to be guarded but not used as an up-to-date timepiece."
"Redskins, Redmond,  amp; Red Ink","What was Dan Snyder thinking? No, I #39;m not referring to the whole Steve Spurrier fiasco. This has nothing to do with his Washington Redskins team -- though one can argue that it #39;s a reasonably brisk jog between "
Split story for businesses during Convention,"If it had been up to Katie Rosin, she would have been on vacation last week. Rosin, the spokeswoman for pottery retailer and wholesaler Our Name is Mud, knew business would be very slow "
Crisis talks at Alitalia,ROME The survival of Italy #39;s flag carrier will be at stake on Monday when Alitalia meets its unions to reveal how many jobs it intends to cut in a restructuring aimed at averting collapse.
Millions Left Without Power as Hurricane Frances Strikes,Four million people were tonight without power in Florida as Hurricane Frances smashed its way across the sunshine state. The storm which has left thousands of British holidaymakers 
China Stocks May Fall After Government Takes Over 4 Brokerages,China shares may decline after the government took over Hantang Securities Co. and three brokerages controlled by failed investment company Xinjiang D #39;Long Group Co.
Stock market weaker,"THE local stock market weakened today, reflecting the losses on Wall Street on Friday night. By 10.12am (AEST) the benchmark S amp;P/ASX 200 index was 2.7 points lower at 3574."
HBOS fury as EU backs Santander #39;s Abbey bid,"HBOS, THE Halifax and Bank of Scotland group that is considering whether to make a bid for Abbey National, yesterday reacted furiously to a statement from Mario Monti "
"Tokyo Stocks Open Higher, US Dollar Up",Tokyo stocks opened moderately higher Monday on bargain hunting following Friday #39;s losses. The US dollar was up against the Japanese yen.
Broker woes to scare investors,"Mainland shares may decline after the government #39;s takeover of Hantang Securities and three brokerages controlled by failed investment company Xinjiang D #39;Long Group because of worries about other crackdowns to come, market analyst Thomas Zhang said."
Monti blasted over Abbey comments,Banking group HBOS yesterday criticised European Competition Commissioner Mario Monti for appearing to welcome the 8.8 billion takeover of Abbey National 
Amatong confirms NPC bonds issue bid,"SANTIAGO, Chile (Dow Jones) - The Philippine government is poised to tap debt markets to raise money for loss-making National Power Corp."
Dollar Near High Vs Yen After Job Data (Reuters),"Reuters - The dollar hovered near a\two-and-a-half-week high versus the yen on Monday, helped by a\positive U.S. jobs report last week and the yen's failure to\capitalize on stronger-than-expected corporate spending data."
Australia #39;s API Buys New Price Chain For A\$112.4M -2,"MELBOURNE (Dow Jones)--Australian Pharmaceutical Industries Ltd. (API.AU) said Monday it agreed to buy health, beauty and lifestyle retailer New Price Retail for A\$112."
"Tokyo Stocks Higher, Lifted by Survey","Tokyo stocks rose by mid-morning on Monday with a broad range of issues getting a lift from a key survey that boosted optimism on Japan #39;s economic outlook, with expectations rising that growth figures will be revised up."
HBOS cries foul as Monti  #39;favours #39; bid,"HBOS questioned yesterday the impartiality of the European Union #39;s competition commissioner, Mario Monti, after he made comments that appeared to be favourable to a bid for Abbey National by the Spanish bank Santander Central Hispano."
Hollinger eyes sale of new media subsidiary - FT,"Chicago-based publisher Hollinger International Inc. (HLR.N: Quote, Profile, Research) is considering the sale or merger of assets at its new media arm, a British newspaper said on Monday."
HBOS weighs up Abbey bid,Banking group HBOS today stayed silent on claims that its bosses will meet this week to finalise plans for a 10bn (14.7bn) bid for Abbey National.
"Police: Shooting in Detroit leaves 2 men dead, 1 wounded","Two people were in custody Sunday following a shootout between two groups of people that left two men dead and a third man wounded, police said Sunday."
Authorities in Arenac County investigate apparent murder-suicide,"A 30-year-old man and 30-year-old woman were found dead inside a home in what investigators believe is a murder-suicide, Arenac County authorities said in a statement."
Poker Proves a Hot Hand for Gaming Industry,"Card game's popularity is fanned by a combination of television, technology and, for some, the allure of big money."
Malpractice Insurers Face a Tough Market,"In Maryland, requests from state's largest malpractice insurer to raise premiums an average of 41 percent has triggered a fierce debate."
Patience Helps Build Trust in Land Deals,"Developers find themselves pushing harder, agreeing to bend more and working patiently through the unique concerns of landowners."
"Digging Out From One Storm, Hit Hard by Another","The lights went out about 2 am Sunday for the Patel family here, just as they did 23 days earlier. Through the night the family listened to the rain dripping into "
Taiwanese PC Maker on Verge of Sales Push Into U.S. and China,"Acer, the Taiwanese personal computer maker, has appointed an Italian to replace its current president, a move that underscores its raging global ambitions."
Ernst  amp; Young Faces Inquiry in Britain,"he British arm of the accounting firm Ernst  amp; Young faces an investigation into its auditing of Equitable Life Assurance Society, an insurer that almost collapsed, a spokesman for the firm said over the weekend."
Dollar Firm Vs Yen on Jobs News," TOKYO (Reuters) - The dollar stayed firm against other  major currencies on Monday, helped by U.S. jobs data, but  traders said it lacked momentum to advance strongly."
China to Decide on Curbs After Aug Data," SHANGHAI (Reuters) - China will decide whether to ease or  tighten restrictions on credit and investment after reviewing  economic data for August due this month, central bank governor  Zhou Xiaochuan said on Monday."
"Products Slide Into More TV Shows, With Help From New Middlemen","Television networks have worked hard in the last two years to strike their own product placement deals, closing the gap with the movies."
"In Trying Time, Scaling Down Expectations of Job Growth","here was a time when adding just under 150,000 jobs a month, three years into an economic recovery, would have been considered a disaster."
PHILIPPINES PRESS: Govt Mandates 3 Banks for Bond Offer,"MANILA (Dow Jones)--The Philippine government has mandated three investment banks to underwrite a bond offer that will raise at least \$750 million in the overseas capital market, Philippine Daily Inquirer reports, citing unnamed banking and government "
China to Decide on Curbs After Aug Data (Reuters),"Reuters - China will decide whether to ease or\tighten restrictions on credit and investment after reviewing\economic data for August due this month, central bank governor\Zhou Xiaochuan said on Monday."
